Planned Sprint,Actual Sprint,US ID,User Story Description,MOSCOW,Dependency,Assignee,Status
Sprint 1,Sprint 1,US-01,"As a user, I want to upload documents so that they can be searched",MUST HAVE,None,Koganti Karthik Chowdary,3- Completed
Sprint 2,Sprint 2,US-02,"As a user, I want semantic search over documents",MUST HAVE,US-01,Koganti Karthik Chowdary,3- Completed
Sprint 3,Sprint 3,US-03,"As a user, I want conversational Q&A",MUST HAVE,US-02,Koganti Karthik Chowdary,3- Completed
Sprint 4,Sprint 4,US-04,"As a user, I want source citations in answers",SHOULD HAVE,US-03,Koganti Karthik Chowdary,3- Completed
Sprint 5,Sprint 5,US-05,"As a user, I want follow-up question handling",SHOULD HAVE,US-04,Koganti Karthik Chowdary,3- Completed
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
